,name,state,linkedin_industry,website_url,check_robots
1965,VYLD,Berlin,Life Science & Healthcare,http://vyldness.de/,True
1966,one4good,Bayern,Other,http://www.one4good.com,False
1967,Unicorn,Berlin,Construction/Real Estate,https://www.unicorn.de/,True
1968,Delivery Hero,Berlin,Nutrition & Consumables,https://www.deliveryhero.com/,True
1969,Blockchain Consulting,Bayern,IT and Communications,http://blockchain-consulting.net/,True
1970,fitogram,Nordrhein-Westfalen,Sports & Amusement/Gaming incl. Online,https://www.fitogram.pro/,False
1971,DyeMansion,Bayern,Industrial & Basic Materials,https://dyemansion.de/en/,True
1972,Ferntech,Baden-Württemberg,Energy & Electricity,https://ferntech.io/,False
1973,landopay,Berlin,Finance & Insurance,http://www.landopay.com/landig.html,False
1974,Sichere Zuflucht,Bayern,Consulting,https://sichere-zuflucht.de/,False
1975,COYO,Hamburg,IT and Communications,https://www.coyoapp.com/,False
1976,Carrypicker,Hamburg,"Automotive, Logistics & Mobility",http://www.carrypicker.com,False
1977,TeamInvest,Bayern,Finance & Insurance,http://teaminvest.de/,False
1978,Legal Next,Berlin,Finance & Insurance,http://legalnext.de/,False
1979,simplinic,Berlin,Life Science & Healthcare,http://www.simplinic.de/,True
1980,Easy Insurance,Hessen,Finance & Insurance,http://easy.eu/,True
1981,Navflex,Nordrhein-Westfalen,"Automotive, Logistics & Mobility",https://www.navflex.de/,True
1982,ApptiveGrid,Nordrhein-Westfalen,IT and Communications,https://www.apptivegrid.de,False
1983,SPREE Interactive,Bayern,Sports & Amusement/Gaming incl. Online,https://jointhespree.com/,True
1984,Autobahn Security,Berlin,Education,https://autobahn.security/,True
1985,ZenML,Bayern,IT and Communications,https://zenml.io/,True
1986,DEOXY,Bayern,Chemicals/Pharmaceuticals,https://deoxy.bio/,True
1987,MyHelpBuddy,Berlin,Other,https://www.MyHelpBuddy.com,True
1988,pleyces,Bayern,Tourism,https://pleyces.com/,False
1989,financeAds International,Berlin,"Media, Arts & Entertainment",https://www.financeads.com/,True
1990,Finiata,Berlin,Finance & Insurance,https://www.finiata.com/,False
1991,Cartrade 24,Nordrhein-Westfalen,"Automotive, Logistics & Mobility",https://www.cartrade-24.de/,False
1992,Snapbus,Nordrhein-Westfalen,"Automotive, Logistics & Mobility",https://www.snapbus.de:443/,True
1993,Fairsich,Berlin,Finance & Insurance,https://www.carriot.de/,False
1994,Adam Riese,Baden-Württemberg,Finance & Insurance,https://www.adam-riese.de/,True
1995,Ui! Urban Mobility Solutions,Bayern,"Automotive, Logistics & Mobility",http://umi.city/,True
1996,SCARAB Business Intelligence,Baden-Württemberg,,https://www.scarab-bi.de,True
1997,fakturia,Bayern,Finance & Insurance,http://fakturia.de/,True
1998,EasyWeek,Nordrhein-Westfalen,IT and Communications,http://easyweek.io/,True
1999,dango,Nordrhein-Westfalen,Finance & Insurance,http://www.paywithdango.com,False
2000,onsuma,Bayern,Nutrition & Consumables,https://www.onsuma.de/,False
2001,QUIN,Berlin,Finance & Insurance,https://www.getquin.com/,False
2002,TINY Technologies,Hamburg,Life Science & Healthcare,https://tiny-technologies.com/,True
2003,Locaboo,Bayern,IT and Communications,https://www.locaboo.com,False
2004,FIWHA,Nordrhein-Westfalen,IT and Communications,https://fiwha.de/,False
2005,Digitalwerk,Bayern,"Automotive, Logistics & Mobility",https://www.digitalwerk.net/,True
2006,spot9,Berlin,Finance & Insurance,https://www.spot9.com/,False
2007,pliXos,Bayern,IT and Communications,https://www.plixos.com/en/,True
2008,komshare,Nordrhein-Westfalen,"Automotive, Logistics & Mobility",https://www.komshare.com,True
2009,Intertrade.digital,Bayern,IT and Communications,https://intertrade.digital/en,False
2010,circular.fashion,Berlin,Textiles,https://circular.fashion/,True
2011,The Flying Cow,Bayern,IT and Communications,https://theflyingcow.io/,False
2012,kiteKRAFT,Bayern,Energy & Electricity,http://kitekraft.de/,False
2013,Paul & Clara,Hessen,Textiles,https://www.paulundclara.com/,True
2014,whispeer,Berlin,IT and Communications,https://whispeer.de/de,True
2015,solyd,Nordrhein-Westfalen,IT and Communications,https://lyno.io/,False
2016,Alpha Strike Labs,Berlin,IT and Communications,https://www.alphastrike.io/,True
2017,Instant3Dhub,Hessen,IT and Communications,https://www.threedy.io/,True
2018,Siqens,Bayern,Energy & Electricity,http://www.siqens.de,True
2019,Honeypot,Berlin,Human Resources,https://www.honeypot.io/,False
2020,Price Intelligence,Baden-Württemberg,IT and Communications,http://priceintelligence.net/,True
2021,Clever Jura,Baden-Württemberg,Education,https://clever-jura.de/,False
2022,fragPaul,Nordrhein-Westfalen,Human Resources,https://frag-paul.de/,True
2023,preML,Baden-Württemberg,IT and Communications,https://preml.io,True
2024,Runtime,Berlin,Nutrition & Consumables,https://runtime.gg/,False
2025,Jobuba International Group,Nordrhein-Westfalen,Other,http://www.jobuba.com,False
2026,nakt,Hessen,Textiles,https://www.nakt.eu/,True
2027,greenmobility24,Nordrhein-Westfalen,"Automotive, Logistics & Mobility",https://www.greenmobility24.de/,False
2028,Green Mnky,Bayern,Security,https://greenmnky.de,True
2029,Ninja Concept,Baden-Württemberg,IT and Communications,https://www.ninjaconcept.com/,False
2030,CoBenefit,Bremen,Energy & Electricity,https://cobenefit.co,False
2031,Edkimo,Berlin,Education,https://edkimo.com,True
2032,FreizeitMonster.de,Hessen,Tourism,https://freizeitmonster.de/,True
2033,Ysura,Bayern,Chemicals/Pharmaceuticals,https://www.ysura.com/,True
2034,synavision,Nordrhein-Westfalen,Construction/Real Estate,https://www.synavision.de/,True
2035,Mieterio,Baden-Württemberg,Construction/Real Estate,https://www.mieterio.de/,True
2036,Cynora,Baden-Württemberg,,https://www.cynora.com/,True
2037,ilohngehalt,Berlin,Finance & Insurance,http://ilohngehalt.de/,False
2038,Smart Soil Technologies,Brandenburg,Agriculture & Forestry,https://smartsoiltechnologies.com/,True
2039,Trödelspende,Berlin,Other,https://troedelspende.de/,False
2040,Alganex,Berlin,Agriculture & Forestry,https://alganex.com/de_DE/,True
2041,Sprechstunde Online,Nordrhein-Westfalen,Life Science & Healthcare,http://sprechstunde.online/,True
2042,Kredit.de,Niedersachsen,Finance & Insurance,https://www.kredit.de/,True
2043,Blockchain Helix,Hessen,Finance & Insurance,http://blockchain-helix.com/,True
2044,top4job.de,Sachsen-Anhalt,Human Resources,https://www.top4job.de/,False
2045,StoryBox,Bayern,"Media, Arts & Entertainment",http://storybox.cloud/,False
2046,deepc,Bayern,Life Science & Healthcare,http://deepc.ai/,False
2047,signavio,Berlin,IT and Communications,http://www.signavio.com/de,True
2048,ViSenSys,Nordrhein-Westfalen,Industrial & Basic Materials,http://www.visensys.de,False
2049,dealmaker,Berlin,Finance & Insurance,http://dealmaker.io/,True
2050,AI-Genics,Bayern,Other,https://ai-genics.com/,True
2051,bepro11,Hamburg,Sports & Amusement/Gaming incl. Online,https://www.bepro11.com,True
2052,NVision Imaging Technologies,Baden-Württemberg,Life Science & Healthcare,http://nvision-imaging.com/,True
2053,Bee friendly,Baden-Württemberg,Agriculture & Forestry,https://beefriendly-earth.de/,True
2054,MEGAAA,Hamburg,Nutrition & Consumables,https://www.megaaa.de/,False
2055,Yilu,Berlin,Tourism,https://yiluhub.com/,True
2056,Finexity,Hamburg,Finance & Insurance,https://finexity.com/,True
2057,JobUFO,Berlin,Human Resources,https://www.jobufo.com/,True
2058,MEDITyme,Bayern,Life Science & Healthcare,https://www.medityme.com/de/home,False
2059,Locafox,Nordrhein-Westfalen,Finance & Insurance,https://www.locafox.de/,True
2060,spotsize,Rheinland-Pfalz,Textiles,http://spotsize.io/,True
2061,keepist,Nordrhein-Westfalen,"Water, Waste Treatment & Recycling",https://www.keepist.de/,True
2062,Inshoerance,Rheinland-Pfalz,Life Science & Healthcare,http://inshoerance.net/,False
2063,roomskale,Niedersachsen,Construction/Real Estate,https://www.roomskale.com/,True
2064,EnCo,Hamburg,Other,http://www.enco-software.com,True
