name,state,linkedin_industry,website_url
AirGateway,Berlin,Tourism,http://airgateway.com
Basaas,Berlin,IT and Communications,https://www.basaas.com
anabrid,Berlin,IT and Communications,https://anabrid.com/
3D Consulting-Geo,Berlin,Consulting,http://www.consulting-geo.com/
Innoloft,Nordrhein-Westfalen,IT and Communications,https://innoloft.com/public/de
IDnow,Bayern,Finance & Insurance,https://www.idnow.io/de/
Vitascale,Bayern,Life Science & Healthcare,http://vitascale.de/
Audry,Berlin,,http://audry.io/
nextbike,Sachsen,"Automotive, Logistics & Mobility",https://www.nextbike.de/
Agantty,Niedersachsen,IT and Communications,https://www.agantty.com/
LieferGong,Bayern,Nutrition & Consumables,https://www.liefergong.de/
HubSell,Berlin,IT and Communications,http://hubsell.com/
Lendis,Berlin,Industrial & Basic Materials,https://www.lendis.io/
vCOACH,Bayern,Human Resources,https://www.vcoach.ai/
ChipsTV,Berlin,Sports & Amusement/Gaming incl. Online,https://chipstv.co
sendOS,Brandenburg,"Automotive, Logistics & Mobility",https://www.send-os.com/
Dearest,Berlin,Life Science & Healthcare,http://hellodearest.io/
restado,Baden-Württemberg,Construction/Real Estate,https://restado.de
Asana Rebel,Berlin,Sports & Amusement/Gaming incl. Online,https://asanarebel.com/?yogainspiredfitness
arculus,Bayern,"Automotive, Logistics & Mobility",https://www.arculus.de/
fashionXact,Nordrhein-Westfalen,Textiles,https://fashionxact.io/
Eshop Guide,Nordrhein-Westfalen,Consulting,https://www.eshop-guide.de/
mana,Bayern,Human Resources,https://mana-hr.de/
mufu (webservices),Nordrhein-Westfalen,,https://www.mufu.de
d2-24,Hessen,"Media, Arts & Entertainment",https://d2-24.com/
cogniscent,Berlin,Life Science & Healthcare,http://www.cogniscent.io/
N26,Berlin,Finance & Insurance,https://n26.com/
Cleverciti,Bayern,"Automotive, Logistics & Mobility",http://www.cleverciti.com/
VintageHub,Berlin,Construction/Real Estate,http://www.vintagehub.com
myToys,Berlin,Nutrition & Consumables,https://www.mytoys.de/
Robin Data,Sachsen-Anhalt,Security,https://www.robin-data.io/en/
Direct-Smarter Technology,Berlin,IT and Communications,https://direct-smarter.de/
NUX,Nordrhein-Westfalen,Nutrition & Consumables,https://nuxshop.com/
Bareways,Schleswig-Holstein,"Automotive, Logistics & Mobility",http://www.bareways.com
digitalhoneycomb,Nordrhein-Westfalen,,https://www.digitalhoneycomb.de
Yummy James,Hamburg,Nutrition & Consumables,http://yummyjames.com/
innovate 255,Berlin,IT and Communications,https://www.in255.com/index.html#page-top
